player_name,salary,position,team,game,slate_type,player_image,player_id,draftable_id,game_start,updated_at
Mylan Graham,4600,WR,ND,WISC @ ND,Classic,https://dkn.gs/sports/images/cfb/teams/50/8394.png,1519336,44024424,09/06/2026 07:30 PM,2026-09-04T16:50:46Z
Janerious Jackson,4600,RB,NEV,WKU @ NEV,Night,https://dkn.gs/sports/images/cfb/teams/50/7925.png,1654430,44019231,09/05/2026 10:30 PM,2026-09-04T16:50:46Z
Troy Omeire,4600,WR,UNM,CMU @ UNM,Night,https://dkn.gs/sports/images/cfb/teams/50/8327.png,1214876,44019366,09/05/2026 10:00 PM,2026-09-04T16:50:46Z
Mylan Graham,4600,WR,ND,WISC @ ND,Night,https://dkn.gs/sports/images/cfb/teams/50/8394.png,1519336,44025926,09/06/2026 07:30 PM,2026-09-04T16:50:47Z
Carson Hilbert,4600,K,UL,UL @ MISS,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8373.png,1589202,44027319,09/06/2026 07:30 PM,2026-09-04T16:50:47Z
Garth White,4600,K,UL,UL @ MISS,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8373.png,1401209,44027320,09/06/2026 07:30 PM,2026-09-04T16:50:47Z
Bode Shoaps,4600,K,UL,UL @ MISS,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8373.png,1662456,44027321,09/06/2026 07:30 PM,2026-09-04T16:50:47Z
Nick Keller,4600,K,UL,UL @ MISS,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8373.png,1396031,44027322,09/06/2026 07:30 PM,2026-09-04T16:50:47Z
Winston Watkins Jr.,4600,WR,LSU,CLEM @ LSU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8190.png,1582462,44025461,09/05/2026 07:30 PM,2026-09-04T16:50:47Z
Liam Boyd,4600,K,MSU,TOL @ MSU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/7850.png,1394796,44009695,09/04/2026 08:00 PM,2026-09-04T16:50:48Z
Stephen Gonzales,4600,K,MSU,TOL @ MSU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/7850.png,1665441,44009696,09/04/2026 08:00 PM,2026-09-04T16:50:48Z
Riley Sullivan,4600,K,BAY,BAY @ AUB,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8210.png,1412385,44025006,09/05/2026 03:30 PM,2026-09-04T16:50:48Z
Rhett Armstrong,4600,K,BAY,BAY @ AUB,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8210.png,1582732,44025007,09/05/2026 03:30 PM,2026-09-04T16:50:48Z
Bronson Mueller,4600,K,BAY,BAY @ AUB,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8210.png,1666204,44025008,09/05/2026 03:30 PM,2026-09-04T16:50:48Z
TJ Engleman Jr.,4600,RB,ECU,ECU @ BAMA,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8368.png,1509251,44020028,09/05/2026 12:00 PM,2026-09-04T16:50:48Z
Jaivian Thomas,4600,RB,UCLA,UCLA @ CAL,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8091.png,1457871,44025619,09/05/2026 10:30 PM,2026-09-04T16:50:48Z
Leo Pulalasi,4600,RB,WSU,WSU @ UW,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/8108.png,1456770,44027173,09/06/2026 04:00 PM,2026-09-04T16:50:48Z
Micahi Danzy,4600,WR,FSU,SMU @ FSU,Showdown Captain Mode,https://dkn.gs/sports/images/cfb/teams/50/7627.png,1516032,44027618,09/07/2026 07:30 PM,2026-09-04T16:50:49Z
Ari Patu,4500,QB,DUKE,TUL @ DUKE,Night,https://dkn.gs/sports/images/cfb/teams/50/7621.png,1286213,43974302,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Lawrence Gardner,4500,QB,DUKE,TUL @ DUKE,Night,https://dkn.gs/sports/images/cfb/teams/50/7621.png,1598502,43974304,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Terry Walker III,4500,QB,DUKE,TUL @ DUKE,Night,https://dkn.gs/sports/images/cfb/teams/50/7621.png,1648317,43974306,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Blaine Hipa,4500,QB,DUKE,TUL @ DUKE,Night,https://dkn.gs/sports/images/cfb/teams/50/7621.png,1409998,43974308,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Femi Babalola,4500,QB,BC,BC @ CINCY,Night,https://dkn.gs/sports/images/cfb/teams/50/7692.png,1648293,43974310,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Enzo Arjona,4500,QB,BC,BC @ CINCY,Night,https://dkn.gs/sports/images/cfb/teams/50/7692.png,1391828,43974312,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Jake Coniglio,4500,QB,BC,BC @ CINCY,Night,https://dkn.gs/sports/images/cfb/teams/50/7692.png,1598258,43974314,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Anthony Coellner,4500,QB,BC,BC @ CINCY,Night,https://dkn.gs/sports/images/cfb/teams/50/7692.png,1648292,43974316,09/05/2026 03:30 PM,2026-09-04T16:50:45Z
Max Brown,4500,QB,WVU,C-C @ WVU,Night,https://dkn.gs/sports/images/cfb/teams/50/7749.png,1394782,43974318,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
Jyron Hughley,4500,QB,WVU,C-C @ WVU,Night,https://dkn.gs/sports/images/cfb/teams/50/7749.png,1648364,43974320,09/05/2026 12:00 PM,2026-09-04T16:50:45Z
